gt4py:gtx86,gt4py:gtmc,cupy,gt4py:gtcuda
27.47256649006157,25.535380307002924,11.28801519132685,5.561058576218784
27.42426162166521,25.70359573257156,11.285990440868776,5.502754332032055
27.45640402229037,25.639312293729745,11.285963656264355,5.5539704469265425
27.365210148971528,25.64820872817654,11.280635610106401,5.512130769784561
27.327778396429487,25.530930631095554,11.282664754078725,5.559554350329564
27.37592617410701,25.76156883081421,11.285963316448033,5.509730701916852
27.54602699971292,25.693527468247343,11.285604307195172,5.496065293555149
27.28053706663195,25.74537742626853,11.280428993981333,5.506414696574211
27.49638462532312,25.399335397756662,11.281033184495756,5.565361952991225
27.599647409864698,25.526216674246825,11.281968464725649,5.5689212634461
