gt4py:gtx86,gt4py:gtmc,cupy,gt4py:gtcuda
57.78676996182186,58.039593221503324,19.679286850965585,11.26738307706546
57.98417376785074,58.21378156519495,19.674766070093032,11.437497423728928
57.82795826112852,58.068083442980424,19.685481370193887,11.307609318871982
57.99980223097373,58.27937818423379,19.687754162587225,11.299994365777819
57.57426584954374,58.13226791657507,19.684659417252988,11.29717522743158
57.88614741247146,58.30779201758561,19.685256503871642,11.300467888941052
57.91014832572546,58.21898390026763,19.682039062143303,11.310661968076602
57.78228646074422,58.198401885805644,19.675898750429038,11.415277437423356
57.89991826319602,58.17095448705368,19.686830799793825,11.328135476214811
57.91558602976146,57.81662492232864,19.678046512301076,11.458623878890648
