numba:cpu:numpy,gt4py:gtx86,gt4py:gtmc,cupy,gt4py:gtcuda,numpy
42.16518534702481,17.316483311180487,10.653450439218432,9.68599472817732,2.731283260101918,663.7130833353149
42.166153583093546,17.4782031821087,10.576568660151679,9.685399890004193,2.739583194255829,664.8381332939025
42.18563866283512,17.242589409812354,10.515847321017644,9.685053290217184,2.699676111107692,655.3162242869148
42.18523654976161,17.448328529892024,10.575121539179237,9.685524106957017,2.7225657399976626,663.0961627401413
42.21548980561784,17.210127730446402,10.54409422702156,9.685459414555227,2.729966830811464,665.0334301145049
42.14639097114559,17.23203020094661,10.54041064134799,9.685742073867004,2.7408339249668643,
42.185479329142254,17.39083376218332,10.57255761208944,9.685331136279274,2.7253570159664378,
42.23682863207068,17.567980767344125,10.573495995195117,9.68614998011617,2.7306409470038493,
42.15751451725373,17.375907731126066,10.578255463100504,9.686676928133238,2.7235042401007377,
42.21445748046972,17.208753198559858,10.638880935672203,9.684690640075132,2.735454908281099,
