gt4py:gtx86,gt4py:gtmc,cupy,gt4py:gtcuda
33.378790634684265,32.45363993255887,12.787863417644985,4.9904123824089766
33.35684177966323,32.36148529511411,12.814581659506075,4.9961472483119005
33.29786848428193,32.40779578627553,12.843281546607615,4.999257159652188
33.349442186183296,32.37172997300513,12.818733917316422,4.953255080617963
33.27062879258301,32.481241350527846,12.792898297309875,4.944408460636623
33.375684519298375,32.35829256020952,12.821010447107255,4.953470817534253
33.315571555518545,32.37756778683979,12.828974880394526,4.9504808156052595
33.34256814187393,32.402213638066314,12.816515573649669,5.004177245195024
33.309666874236434,32.349027503980324,12.808565776678734,4.956467248033731
33.241799665382125,32.321366491378285,12.80035977740772,5.003764017485082
