gt4py:gtx86,gt4py:gtmc,cupy,gt4py:gtcuda
49.45642790803687,49.73565908253657,16.625046037836,7.336220736382527
49.586694506346255,49.80621818755753,16.59553934726864,7.407514350605197
49.50980057381094,49.70534790400416,16.632440840709027,7.341521403985097
49.7049834682839,49.89016285934486,16.573440944077447,7.339165682089515
49.30507452029269,49.79552424058785,16.639244764461182,7.343666863627733
49.54841848497747,49.91066247108392,16.623252519522797,7.34360280202236
49.51023257314228,49.86354292032775,16.624401608365588,7.355408910661937
49.44901807489804,49.837904792279005,16.613115577492863,7.3987859768094495
49.543615556671284,49.79409668815789,16.543009933433495,7.349805973120965
49.58365728508216,49.57174139167182,16.60871080274228,7.387133409385569
