cupy,gt4py:gtx86,gt4py:gtmc,gt4py:gtcuda
14.01385814824607,38.140778666711405,36.53999387379736,5.528921770397574
14.061861309688535,38.17856120539364,36.61898581380956,5.549963819794357
14.031695523648525,37.87634218565654,36.58772633573972,5.552754486212506
14.09033204661682,38.19360484741628,36.75490111543331,5.556905105942861
14.07209291588515,37.891202078200884,36.578748236293904,5.541371736908332
14.056202659849074,37.91976714506745,36.64190935622901,5.5398660536156985
14.054172259639016,38.009580187033855,36.71522784687113,5.539448666968383
14.046987396315673,37.960062327911146,36.66770737466868,5.537179262377322
14.032975346548483,38.10932984750252,36.73294435394928,5.524940739385784
14.053836809122007,37.94965917430818,36.55339973571245,5.544925695285201
14.082530900021085,,,
