cupy,gt4py:gtx86,gt4py:gtmc,gt4py:gtcuda
16.083477318752557,43.64781354158185,42.11877783003729,8.369853851967491
16.09203192673158,43.698390934499905,42.14883628906682,8.379968696273862
16.078038282343186,43.37399271922186,42.17199982295279,8.383318287902513
16.129957666504193,43.83307858440094,42.40650489390829,8.39076900202781
16.086057389853522,43.41823432897217,42.158195093739785,8.372476920252666
16.09786149323918,43.47026336658746,42.23279450123664,8.376371011137962
16.088123192661442,43.598606209619895,42.26872979942709,8.381465012673289
16.08151256851852,43.521095233852975,42.30569092941005,8.350978644564746
16.078508762060665,43.62585503549781,42.33451697521377,8.339365482912399
16.078139698598534,43.44513110164553,42.060393170337186,8.374998835613951
16.08722879679408,,,
