gt4py:gtx86,gt4py:gtmc,cupy,gt4py:gtcuda
38.56213322316761,37.89835225208663,14.677667512441984,7.375468224403447
38.68439444841353,37.79806083731819,14.708780496730473,7.389709472190589
38.54618066106923,37.811314748949364,14.682721639284866,7.383773216512054
38.53902944375295,37.754219869384535,14.675216806819662,7.312875919276847
38.456894810078666,37.92588394216728,14.674862875952384,7.28281617036555
38.63476651685778,37.72940835065674,14.677200789679773,7.323456634883769
38.54730332957115,37.812298818607815,14.681094451225364,7.302829572581687
38.577215457567945,37.80484562914353,14.674108974286357,7.392985893297008
38.49185555940493,37.78525394608732,14.675189082161525,7.332794769317843
38.44359817868098,37.73946763272397,14.674140729359353,7.396935068187304
