,ncalls,total_call_time,total_run_time,total_run_cpp_time
_coriolis_gt4py____gtx86_6a53dbfa33,303.0,0.4894706105114892,0.4715939207235351,0.46390581130981445
_diagnose_velocity_x_gt4py____gtx86_812031f99c,303.0,0.30780593620147556,0.2870625362265855,0.2811429500579834
_diagnose_velocity_y_gt4py____gtx86_838c5befc4,303.0,0.2899717135587707,0.266614087857306,0.26102590560913086
_smagorinsky2d_gt4py____gtx86_d9468699c6,303.0,3.972064540255815,3.9473959465976804,3.939042329788208
_diagnose_momenta_gt4py____gtx86_7d764d8e25,303.0,0.5142671442590654,0.4862700286321342,0.478456974029541
iadd_gt4py____gtx86_5d6486d23e,3333.0,2.4110013047466055,2.2139295337256044,2.173454523086548
_kessler_gt4py____gtx86_bf555d9f6f,303.0,1.9952815448632464,1.967164786765352,1.956876516342163
_saturation_adjustment_prognostic_gt4py____gtx86_488bc7ada9,303.0,2.236564280698076,2.2094051423482597,2.2004518508911133
_vertical_advection_gt4py____gtx86_f0d8b489ce,303.0,1.6073418243322521,1.5774050599429756,1.5662686824798584
_fall_velocity_gt4py____gtx86_9bd8338835,404.0,3.1650228147627786,3.140789425233379,3.131434440612793
_sedimentation_gt4py____gtx86_69c2cd22f2,303.0,0.4877190834376961,0.4641485979082063,0.45644092559814453
_diagnose_density_gt4py____gtx86_5605c7f04b,909.0,0.9072131684515625,0.8433588418411091,0.8276910781860352
step_forward_euler_gt4py____gtx86_58c39ce21b,303.0,4.605505702784285,4.56550670217257,4.552249431610107
irelax_gt4py____gtx86_0eed80f13b,2121.0,0.716277354862541,0.6133658400503919,0.5955133438110352
_montgomery_gt4py____gtx86_6be125326c,303.0,1.8786704610101879,1.8601556901121512,1.8543422222137451
step_forward_euler_momentum_gt4py____gtx86_92f86bc1f5,303.0,3.136760637979023,3.102580245700665,3.0908825397491455
_diagnose_mass_fraction_gt4py____gtx86_7f418e8b04,909.0,0.867807679460384,0.7964009528513998,0.780426025390625
_diagnose_velocity_x_gt4py____gtx86_e0cf755f83,404.0,0.3886955502675846,0.3658750858157873,0.35775256156921387
_diagnose_velocity_y_gt4py____gtx86_a0d4839917,404.0,0.36934320942964405,0.3383107865229249,0.33071064949035645
copy_gt4py____gtx86_a28f01dca4,7662.0,4.1539743070025,3.8100017848191783,3.7449820041656494
_diagnostic_variables_gt4py____gtx86_f0a0200749,303.0,2.050355805666186,2.0266865260200575,2.017712116241455
_density_and_temperature_gt4py____gtx86_6761ec92fc,303.0,0.6445269088726491,0.6162357634166256,0.6084432601928711
_damping_gt4py____gtx86_a83d533f04,303.0,0.415219949092716,0.39352851442527026,0.38637566566467285
_accumulated_precipitation_gt4py____gtx86_543bfca27c,101.0,0.01468570006545633,0.006763656972907484,0.005270481109619141
_smoothing_gt4py____gtx86_e899d53aeb,303.0,0.2810294346418232,0.26772965560667217,0.26256394386291504
