gt4py:gtx86,gt4py:gtmc,cupy,gt4py:gtcuda
40.31419775460381,39.62427634652704,14.897734242724257,8.06853529647924
40.36711411224678,39.54051991866436,14.894984760903752,8.148703997721896
40.26617382967379,39.64479231846053,14.901742208050564,8.07781561021693
40.531441394239664,39.72267536923755,14.9022621831391,8.10519098979421
40.39774216001389,39.48533177981153,14.917694115778431,8.175863717216997
40.48800212203059,39.566938710282564,14.90224258217495,8.092583984485827
40.21645463909954,39.74213250761386,14.904563955846246,8.066357753938064
40.513162215938785,39.68259097810368,14.895989903947338,8.179913449916057
40.1993674035184,39.72132369363681,14.89689186681062,8.066583516192622
40.2012627790682,39.6524068475701,14.895411260542462,8.06745597848203
