,ncalls,total_call_time,total_run_time,total_run_cpp_time
_forward_euler_gt4py____gtmc_cfae6f7106,303.0,2.6849062487017363,2.6580001837573946,2.649134397506714
copy_gt4py____gtmc_a28f01dca4,808.0,2.2438421141705476,2.1900126678519882,2.172809362411499
_horizontal_diffusion_gt4py____gtmc_d15c5feb54,404.0,1.5657459732028656,1.5367836386431009,1.5273141860961914
fma_gt4py____gtmc_69674dbf7f,404.0,1.4934940385865048,1.4627930554561317,1.453249454498291
iaddsub_gt4py____gtmc_5b57def144,202.0,0.753108200209681,0.7397364235948771,0.7352380752563477
