,ncalls,total_call_time,total_run_time,total_run_cpp_time
_diagnose_density_gt4py____gtmc_5605c7f04b,909.0,0.9289366186130792,0.8667642371729016,0.8505246639251709
step_forward_euler_gt4py____gtmc_64e17b0bcd,303.0,2.9637284675845876,2.9279366133268923,2.915538787841797
irelax_gt4py____gtmc_0eed80f13b,2121.0,0.8833889815723523,0.7806805887958035,0.7614772319793701
_montgomery_gt4py____gtmc_6be125326c,303.0,1.9017073133727536,1.8832170949317515,1.8750584125518799
step_forward_euler_momentum_gt4py____gtmc_2f23b77ad0,303.0,1.9969523746985942,1.9604659269098192,1.9494469165802002
_diagnose_mass_fraction_gt4py____gtmc_7f418e8b04,909.0,0.8766827707877383,0.8073735998477787,0.7915635108947754
_diagnose_velocity_x_gt4py____gtmc_e0cf755f83,404.0,0.395872839842923,0.3715022432152182,0.3635098934173584
_diagnose_velocity_y_gt4py____gtmc_a0d4839917,404.0,0.3972149600740522,0.3664753972552717,0.3583872318267822
copy_gt4py____gtmc_a28f01dca4,6666.0,3.106916989432648,2.810857321950607,2.7564749717712402
_damping_gt4py____gtmc_a83d533f04,303.0,0.3381091366754845,0.3167000097455457,0.3099219799041748
_diagnostic_variables_gt4py____gtmc_f0a0200749,101.0,0.7688032480655238,0.7610302402172238,0.7578649520874023
_density_and_temperature_gt4py____gtmc_6761ec92fc,101.0,0.20905524760019034,0.19946740777231753,0.1966550350189209
_coriolis_gt4py____gtmc_6a53dbfa33,202.0,0.2516685021109879,0.23699777608271688,0.23201251029968262
sts_rk2_0_gt4py____gtmc_3b25765e2d,1616.0,2.1036815755069256,1.978091950295493,1.9398479461669922
fma_gt4py____gtmc_69674dbf7f,1616.0,1.6774971731938422,1.5631068942602724,1.5330491065979004
_smoothing_gt4py____gtmc_e899d53aeb,606.0,0.5888396466616541,0.5608634987147525,0.5504043102264404
_diagnose_velocity_x_gt4py____gtmc_812031f99c,202.0,0.20052163186483085,0.18837506044656038,0.18439912796020508
_diagnose_velocity_y_gt4py____gtmc_838c5befc4,202.0,0.19788018113467842,0.18269814306404442,0.17873477935791016
_smagorinsky2d_gt4py____gtmc_d9468699c6,202.0,1.9845904059475288,1.9687417816603556,1.9633476734161377
_diagnose_momenta_gt4py____gtmc_7d764d8e25,202.0,0.35482940170913935,0.3368392367847264,0.3317399024963379
_kessler_gt4py____gtmc_bf555d9f6f,202.0,1.2205168763175607,1.20135233621113,1.1943953037261963
_saturation_adjustment_prognostic_gt4py____gtmc_488bc7ada9,202.0,1.4587308190530166,1.4415846673073247,1.435500144958496
iadd_gt4py____gtmc_5d6486d23e,202.0,0.1296572539722547,0.1160834125475958,0.11302614212036133
_vertical_advection_gt4py____gtmc_f0d8b489ce,303.0,3.434134758543223,3.403100208262913,3.392023801803589
sts_rk3ws_0_gt4py____gtmc_87dcf88644,707.0,0.9113039362709969,0.8558674998348579,0.8396387100219727
_fall_velocity_gt4py____gtmc_9bd8338835,404.0,2.9694568862905726,2.9433448244817555,2.9339003562927246
_sedimentation_gt4py____gtmc_69c2cd22f2,303.0,0.6679579570190981,0.6443158504553139,0.6361815929412842
_accumulated_precipitation_gt4py____gtmc_543bfca27c,101.0,0.014128231327049434,0.0060637673595920205,0.00457763671875
