numba:cpu:numpy,gt4py:gtx86,gt4py:gtmc,cupy,gt4py:gtcuda,numpy
40.0634908094071,18.253799280792013,12.023753750312608,8.898297868145164,4.096918894036207,616.4303434954487
40.17542786401464,18.31975935422816,11.93085343023995,8.89955678791739,4.055628114147112,615.4806919236435
40.049715615925386,18.251061118091453,12.041017437295524,8.899051396234428,4.050616060208996,617.88328735088
40.0452327785315,18.208318742690608,12.058061512943823,8.898995880794246,4.0508417290402585,616.1029050847283
40.08557658508653,18.26630305405705,12.01779882243136,8.899499549996108,4.113433191902004,609.0908788376255
40.014531368855394,18.36576761939796,12.040676954959054,8.901153061946387,4.086157901852856,
40.04838000133168,18.397859491058625,12.012697677651884,8.898160487995483,4.0943476621760055,
40.056712211633574,18.23479481274262,12.047029387729705,8.898900432744995,4.093481028801762,
40.050174441421404,18.3195720075164,11.936546596174596,8.898656975245101,4.095652993244585,
40.03654833842303,18.22488228388829,12.051682393765075,8.898266506730577,4.0845795132336224,
