gt4py:gtmc,cupy,gt4py:gtcuda,numpy
21.89561752451118,13.803517622174695,4.830498558236286,289.9793696461711
21.833130650105886,13.709562334814107,4.85961746412795,290.7520495784702
21.80646644742228,14.116704924847,4.791410437668674,290.48503425880335
21.801590012852106,13.713847261620685,4.8427399054635325,
21.89860875334125,13.73748042189982,4.787714986829087,
21.76682205882389,14.149485676200127,4.8037053033476695,
21.822856222977858,13.670074860914607,4.864019332337193,
21.73566515033599,13.734538807300847,4.876538397045807,
21.966498559340835,14.04111076449044,4.889398470520971,
21.781237941235304,13.70263197296299,4.8583290255628535,
