gt4py:gtx86,gt4py:gtmc,gt4py:gtc:gt:cpu_ifirst,gt4py:gtc:gt:cpu_kfirst
46.134967627469464,45.251220976817415,46.84409283462446,46.88043247919995
46.33257584390231,45.040795994806096,46.785312900436104,46.77485096582677
46.26993838441558,45.07092608977109,46.69706170761492,46.88386692502536
46.459524997277185,45.07786927220879,46.90939767134842,47.1549237674335
46.185468536103144,45.185018511139795,46.8453160726931,46.99254143261351
46.28719778393861,45.19340994243976,46.92583400302101,47.021372707444236
46.14120325166732,45.117200891370885,46.926383818034076,46.995384669513435
46.55641289020423,45.23958990362007,46.89238826651126,46.911610262352035
46.435063602752045,45.12778988981154,46.808588858111754,46.30425414571073
46.22387930063997,45.023996300180436,46.870514799375094,47.080033116275445
46.531947502982796,,,
46.39866594714113,,,
46.4179121858906,,,
46.15238770400174,,,
46.38331045827363,,,
46.62651719746646,,,
46.24765377561562,,,
46.58315868908539,,,
46.44131905585528,,,
46.485837118350894,,,
46.56858006631956,,,
46.62608741677832,,,
46.27877665392589,,,
46.092354207648896,,,
46.7607440922875,,,
