numba:cpu:numpy,gt4py:gtx86,gt4py:gtmc,cupy,gt4py:gtcuda,numpy
39.44184707984096,17.597313308971934,11.40374733885983,8.884798438113648,3.9489873841521335,607.0735550944228
40.113458738022025,17.59362430690089,11.3895287043415,8.88163979491219,4.017369749373756,607.7472038175911
39.812900313758284,17.525478978233878,11.36886347294785,8.882416737964377,4.0457393501419565,608.8034465981183
39.99752204376273,17.7120533924317,11.431518338504247,8.880731901852414,4.011511458316819,614.9152380394518
39.55134794220794,17.45008341310313,11.366876248910556,8.882705752039328,4.018944872019347,611.306998054497
39.431042652460754,17.57149669813225,11.342674815969074,8.880124104092827,3.981755396001972,615.1070873390418
39.39454764756374,17.5796992747928,11.409509002754927,8.881687071523631,3.994623497594148,615.1059683669591
39.368292297702276,18.36758712679148,11.49441721785115,8.881684854219204,3.9642696839873683,
39.41879391029943,18.026652266038575,11.448449436982624,8.883149772940671,3.9629482401651335,
39.36358661181293,17.83641885116231,11.486832213937303,8.880947963043582,4.012703904765658,
