numba:cpu:numpy,gt4py:gtx86,gt4py:gtmc,cupy,gt4py:gtcuda,numpy
53.11988271184964,25.13489957735873,16.29678160819458,11.16497309767874,5.6926780382636935,757.6497776011238
53.062490729964345,25.22971229394897,16.253407698939554,11.16527253616368,5.704502068925649,753.9815396451158
53.142445226025295,25.072976739611484,16.286490708822384,11.165328238159418,5.7104727400583215,745.3365539141232
53.17272921110271,25.35793951322557,16.220266401011028,11.164166246249806,5.722268827899827,756.1673883845798
53.06836926116375,25.019802137918305,16.229120456264354,11.164650333870668,5.7148898130399175,752.7523392590228
53.041285948245786,25.194693253783043,16.305497354944233,11.165357321966438,5.724999031343033,
53.07435106491904,25.278896472067572,16.304709287243895,11.164372236758936,5.647968037868849,
53.102980818133794,25.27729552600067,16.316109221894294,11.164574818569236,5.72119955252856,
53.1300034589367,24.95569998875727,16.326063530985266,11.16437052504625,5.726887147349771,
53.06129618670093,25.16765779169509,16.193580900260713,11.164453526900617,5.65825609624153,
