numba:cpu:numpy,gt4py:gtx86,gt4py:gtmc,cupy,gt4py:gtcuda,numpy
48.65141676203347,20.377976436924648,11.54765364609193,6.920542805863079,1.3047804702073336,753.5116980933818
48.617700053902816,20.52827505540336,11.55516885779798,6.911430819192902,1.3329544531297872,749.8539539838675
48.66532201238442,20.36524314741837,11.58901494834572,6.9241242558928215,1.3310253478121012,741.2355190922972
48.699804178264465,20.61887092416873,11.537046382436529,6.842406311654488,1.330708254885394,752.0130025503457
48.63519416400232,20.31617215857841,11.538851660036016,6.8736126560834245,1.331994108040817,748.6171063974034
48.5960324635962,20.49737629602896,11.585207533964422,6.931175918492952,1.3325210605398752,
48.62768768658862,20.522946883458644,11.570111796667335,6.844193349126726,1.3273588283336721,
48.6592385567492,20.529404292639807,11.57436700485414,6.873423560464289,1.3321850583888593,
48.665566189098165,20.25001625029836,11.596079981187358,6.875979864271357,1.3349831840605475,
48.633205218706294,20.41797815356404,11.509368524886668,6.847492545086424,1.3229603913496248,
