gt4py:gtx86,gt4py:gtmc,numba:cpu:numpy,cupy,gt4py:gtcuda,numpy
15.354490959784016,8.55796059279237,36.5846177082276,11.419810531311668,3.0003400776768103,657.2469554351992
15.377650941140018,8.589662040001713,36.72842346690595,11.42361362813972,3.003579975571484,660.5384057668853
15.366962825180964,8.530316643416882,36.67860488663428,11.416299703298137,3.043625084683299,664.982296667702
15.416547572240232,8.530322838807479,36.57611364976037,11.41584754618816,3.203659325139597,
15.414666909025982,8.535712537355721,36.68717755936086,11.41870892920997,3.141711429692805,
15.283638511318712,8.544256940367632,36.69578106701374,11.387842107564213,3.193106414517388,
15.391869482351469,8.576100738486275,36.57752431998961,11.402094529941678,3.0184817720437422,
15.450074359658174,8.541835271171294,36.72307038190775,11.387495986768045,3.075231555965729,
15.41559808771126,8.542217341251671,36.77445554663427,11.419427595683374,3.134978276328184,
15.319924263167197,8.555864533293061,36.62438341858797,11.419729226618074,2.9993607874494046,
