gt4py:gtx86,gt4py:gtmc,numba:cpu:numpy,cupy,gt4py:gtcuda,numpy
23.08805415505776,14.29289719776716,46.1297711309162,15.458977623842657,6.713475175376516,753.2344246217981
23.04589556914289,14.390297910082154,46.09457676502643,15.428456153837033,6.82319478422869,747.9103846380021
23.19261727074627,14.390951775363646,45.913693654874805,15.39777444320498,6.801489983918145,747.4620114245918
23.001089969067834,14.374923617055174,46.20112676930148,15.415983751940075,6.833302793209441,
23.129795622371603,14.397863069782034,46.13019108492881,15.431437604071109,6.833759606000967,
22.988916113215964,14.3858950661961,46.09611584880622,15.487721346202306,6.863354395551141,
23.094168879906647,14.395299165742472,46.09309465775732,15.477149156562518,6.751259277691133,
23.088066576223355,14.316615290241316,46.09364852192812,15.495543414144777,6.804599973082077,
23.08234076667577,14.416910387924872,45.97266278084135,15.484359051915815,6.864131740119774,
23.02016137127066,14.407902149949225,46.15922484087059,15.457169359200634,6.745322789880447,
