gt4py:gtx86,gt4py:gtmc,numba:cpu:numpy,cupy,gt4py:gtcuda,numpy
11.106872894451952,6.918318996322341,28.57608266174793,9.342208242043853,2.78014740825165,531.3405067517306
11.069813887705095,6.940305263269693,28.45385568018537,9.34397732047364,2.8285842835903168,523.6412502807798
10.943106772727331,6.92789604596328,28.471555262920447,9.373587447451428,2.8423081828514114,536.1905063306913
11.028504958143458,6.941038516932167,28.45726182614453,9.354140278883278,2.8516850771848112,
10.912108043208718,6.980836976086721,28.44138892565388,9.337980011245236,2.816338313743472,
10.92582067917101,6.944869351573288,28.482590211788192,9.35496826423332,2.7841746103949845,
11.023554512066768,6.925899557885714,28.44674182683229,9.342201837920584,2.7863972252234817,
11.026651245192625,6.953818671987392,28.45825697761029,9.342675830121152,2.8163130446337163,
11.101936944643969,6.969163114554249,28.52492189197801,9.341183525510132,2.819756626267917,
11.18573854060378,6.945926832733676,28.48984462954104,9.364136292366313,2.832794898422435,
