gt4py:gtx86,gt4py:gtmc,numba:cpu:numpy,cupy,gt4py:gtcuda,numpy
17.603917585103773,8.816962506622076,41.59513152355794,11.132632993918378,1.1157762141083367,749.1174615917262
17.614648561459035,8.849248003272805,41.58445047523128,11.1322151106433,1.1215523239807226,743.804146844428
17.765918161429,8.851890406338498,41.46260084415553,11.131153643596916,1.1199990771128796,743.3678192112129
17.521808226942085,8.849869797355495,41.66017411864596,11.130773540760856,1.119260392850265,
17.644886012305506,8.882206056907307,41.61530082387617,11.132094045402482,1.121369656699244,
17.479859535524156,8.858734644949436,41.57541199284606,11.13538159354357,1.1246351742302068,
17.610823046881706,8.885617516294587,41.57697718660347,11.135083176894112,1.1176798347732984,
17.635230114043225,8.836486636544578,41.57685118634254,11.13350040174555,1.1220549672143534,
17.646246874763165,8.869560936291236,41.51862690097187,11.135001007583924,1.1239571995683946,
17.609811093076132,8.890185795200523,41.621232765726745,11.133871301775798,1.117070640611928,
